Freq/Type,L5,L4,L3,L2,L1,A,B,R1,R2,R3,R4,R5
489: -ཤ་+ཤཱ་,,,,,,,,,,,,
,།,_,དེ་,ལྟར་,ན་,ཤ་,ཤཱ་,རིའི་,བུ་,དང་,–[139a.3],
,།,_,ཅིའི་,སླད་,དུ་,ཤ་,ཤཱ་,རིའི་,བུ་,དང་,།,
,།,_,།,དེའི་,ཚེ་,ཤ་,ཤཱ་,རིའི་,བུ་,ཏིང་,ངེ་,
,_,།,སངས་,རྒྱས་,ཀྱིས་,ཤ་,ཤཱ་,རིའི་,བུ་,ལ་,བཀའ་,
,དཀོན་ནོ་,ཞེས་,བསྟོད,།,_,ཤ་,ཤཱ་,རིའི་,བུས་,སངས་,རྒྱས་,
,_,།,སངས་,རྒྱས་,ཀྱིས་,ཤ་,ཤཱ་,རིའི་,བུ་,ལ་,བཀའ་,
,ཅེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དཔེར་,ན་,
,ལགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,ཡོད་,དཀོན་ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,ལགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,ཡོད་,དཀོན་ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དཔེར་,མིའི་,
,ལགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,ཡོད་,དཀོན་ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དཔེར་,མི་,
,ལགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,ཡོད་,དཀོན་ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,ལགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,ཀྱིས་,དཀོན་ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དཔེར་,
,ལགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,ཀྱིས་,དཀོན་ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དཔེར་,ན་,
,ལགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,ཡོད་,དཀོན་ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཆུ་,–[155a.3],
,ལགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,གནམ་,ངོས་,
,ལགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,ཡོད་,དཀོན་ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,རི་,རབ་,
,ཞིང་,ཆེའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,གནམ་,ངོས་,
,ལགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,ཡོད་,དཀོན་ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དཔེར་,ན་,
,ལགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,ཡོད་,དཀོན་ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ཆོས་,དེ་,
,ཐུལ་,ལོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ངའི་,འཕྲུལ་,
,ཞེས་,བྱས་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,སེམས་,ཅན་,
,རྩོད་,པའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཆོས་,ལ་,
,རྩོད་,པ་,སྟེ,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟར་,
,གནང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟར་,
,གནང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,མེད་,པའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,ན་,བྱས་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ངའི་,ཡང་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,གཅེས་,པའི་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,པའང་,མ་,མཐོང་,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,།།,_,།།,དེའི་,ཚེ་,ཤ་,ཤཱ་,རིའི་,བུས་,སངས་,རྒྱས་,
,།,_,སངས་,རྒྱས་,ཀྱིས་,ཤ་,ཤཱ་,རིའི་,བུ་,ལ་,བཀའ་,
,ཡིན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དེ་,ལྟ་,
,བཤད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ངའི་,ཆོས་,
,ཡོད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,བསྟན་,པ་,
,སྤྱོད་,པའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དགེ་,སློང་,
,རྟེན་,ཏོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ངས་,བཤད་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,དགེ་,སློང་,
,བོས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཁྱིམ་,ན་,
,སྟོན་,ཏོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,བཀའ་འགྱུད།_མདོ་སྡེ།_,མི་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,ལྟ་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,ཡིན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,མི་,ལ་,
,གཏོགས་,སོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,གང་,ལ་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,སྐྱིད་,པ་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
,ཞེས་,བྱས་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,སྟོང་,པའི་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,འདུ་,ཤེས་,
,ཡིན་,ནོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སྟོང་,པའི་,
,སྟོང་,པའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,བྱ་,བ་,
,སྟོང་,པའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སྟོང་,པའི་,
,སྟོང་,པའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཅིའི་,ཕྱིར་,
,ཞེས་,བྱའོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,འདུ་,ཤེས་,
,ཕྱིར་,ཞེ་,ན,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,འཕྲུལ་,གྱི་,
,བཤད་,དུ་,རུང་,།,_,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,རུང་,ངོ་,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,སངས་,རྒྱས་,
,མེད་,དོ,།,_,།,ཤ་,ཤཱ་,རིའི་,བུ་,ཡང་,དག་,
